"method","rep","direction","penalty","AUC"
"TDM",31,"array_to_seq","elastic_net",0.833943833943834
"TDM",31,"array_to_seq","ridge",0.82051282051282
"TDM",31,"seq_to_array","lasso",0.760683760683761
"TDM",31,"seq_to_array","elastic_net",0.833943833943834
"TDM",31,"seq_to_array","ridge",0.852869352869353
"TDM",32,"array_to_seq","lasso",0.702686202686203
"TDM",32,"array_to_seq","elastic_net",0.772893772893773
"TDM",32,"array_to_seq","ridge",0.731379731379731
"TDM",32,"seq_to_array","lasso",0.8003663003663
"TDM",32,"seq_to_array","elastic_net",0.85042735042735
"TDM",32,"seq_to_array","ridge",0.894993894993895
"TDM",33,"array_to_seq","lasso",0.818070818070818
"TDM",33,"array_to_seq","elastic_net",0.833333333333333
"TDM",33,"array_to_seq","ridge",0.777777777777778
"TDM",33,"seq_to_array","lasso",0.893162393162393
"TDM",33,"seq_to_array","elastic_net",0.892551892551892
"TDM",33,"seq_to_array","ridge",0.85958485958486
"TDM",34,"array_to_seq","lasso",0.754578754578755
"TDM",34,"array_to_seq","elastic_net",0.778388278388278
"TDM",34,"array_to_seq","ridge",0.836996336996337
"TDM",34,"seq_to_array","lasso",0.888278388278388
"TDM",34,"seq_to_array","elastic_net",0.896825396825397
"TDM",34,"seq_to_array","ridge",0.912087912087912
"TDM",35,"array_to_seq","lasso",0.721611721611722
"TDM",35,"array_to_seq","elastic_net",0.761904761904762
"TDM",35,"array_to_seq","ridge",0.815018315018315
"TDM",35,"seq_to_array","lasso",0.834554334554335
"TDM",35,"seq_to_array","elastic_net",0.826617826617827
"TDM",35,"seq_to_array","ridge",0.862637362637363
"TDM",36,"array_to_seq","lasso",0.710622710622711
"TDM",36,"array_to_seq","elastic_net",0.728327228327228
"TDM",36,"array_to_seq","ridge",0.811355311355311
"TDM",36,"seq_to_array","lasso",0.858363858363858
"TDM",36,"seq_to_array","elastic_net",0.88034188034188
"TDM",36,"seq_to_array","ridge",0.877899877899878
"TDM",37,"array_to_seq","lasso",0.757020757020757
"TDM",37,"array_to_seq","elastic_net",0.791208791208791
"TDM",37,"array_to_seq","ridge",0.807692307692308
"TDM",37,"seq_to_array","lasso",0.834554334554335
"TDM",37,"seq_to_array","elastic_net",0.856532356532356
"TDM",37,"seq_to_array","ridge",0.851037851037851
"TDM",38,"array_to_seq","lasso",0.73992673992674
"TDM",38,"array_to_seq","elastic_net",0.765567765567766
"TDM",38,"array_to_seq","ridge",0.827838827838828
"TDM",38,"seq_to_array","lasso",0.838827838827839
"TDM",38,"seq_to_array","elastic_net",0.830891330891331
"TDM",38,"seq_to_array","ridge",0.76984126984127
"TDM",39,"array_to_seq","lasso",0.728327228327228
"TDM",39,"array_to_seq","elastic_net",0.724664224664225
"TDM",39,"array_to_seq","ridge",0.851648351648352
"TDM",39,"seq_to_array","lasso",0.86996336996337
"TDM",39,"seq_to_array","elastic_net",0.882783882783883
"TDM",39,"seq_to_array","ridge",0.864468864468865
"TDM",40,"array_to_seq","lasso",0.829059829059829
"TDM",40,"array_to_seq","elastic_net",0.818070818070818
"TDM",40,"array_to_seq","ridge",0.828449328449328
"TDM",40,"seq_to_array","lasso",0.832722832722833
"TDM",40,"seq_to_array","elastic_net",0.856532356532357
"TDM",40,"seq_to_array","ridge",0.828449328449328
"TDM",41,"array_to_seq","lasso",0.744200244200244
"TDM",41,"array_to_seq","elastic_net",0.769230769230769
"TDM",41,"array_to_seq","ridge",0.826617826617827
"TDM",41,"seq_to_array","lasso",0.816239316239316
"TDM",41,"seq_to_array","elastic_net",0.821733821733822
"TDM",41,"seq_to_array","ridge",0.836996336996337
"TDM",42,"array_to_seq","lasso",0.884615384615385
"TDM",42,"array_to_seq","elastic_net",0.832112332112332
"TDM",42,"array_to_seq","ridge",0.808913308913309
"TDM",42,"seq_to_array","lasso",0.847985347985348
"TDM",42,"seq_to_array","elastic_net",0.86019536019536
"TDM",42,"seq_to_array","ridge",0.832112332112332
"TDM",43,"array_to_seq","lasso",0.746031746031746
